date,temp
42116.0,12.1
42117.0,15.5
42118.0,20.4
42119.0,15
42120.0,13.9
42121.0,12.6
42122.0,11.8
42123.0,14.7
42124.0,14.2
42125.0,13.3
42126.0,15.8
42127.0,17
42128.0,19.4
42129.0,22.2
42130.0,15.5
42131.0,16.2
42132.0,19.4
42133.0,16.1
42134.0,19.1
42135.0,25.6
42136.0,17.5
42137.0,18.1
42138.0,16.7
42139.0,14.4
42140.0,14.9
42141.0,16.2
42142.0,14
42143.0,13.7
42144.0,14.7
42145.0,17.4
42146.0,19.9
42147.0,15.7
42148.0,19.9
42149.0,15.3
42150.0,15.8
42151.0,18.9
42152.0,16.5
42153.0,15.8
42154.0,15.4
42155.0,16.5
42156.0,16.1
42157.0,17.7
42158.0,17.7
42159.0,22
42160.0,31.8
42161.0,18.9
42162.0,18.9
42163.0,17.2
42164.0,15
42165.0,20.8
42166.0,24
42167.0,27.4
42168.0,21.3
42169.0,19.5
42170.0,17.5
42171.0,17.7
42172.0,22.7
42173.0,16.6
42174.0,15.3
42175.0,16.3
42176.0,18.5
42177.0,15.3
42178.0,15.1
42179.0,21.5
42180.0,24
42181.0,25
42182.0,21.8
42183.0,23.2
42184.0,24.2
42185.0,27.3
42186.0,33.1
42187.0,33.1
42188.0,29.1
42189.0,32.7
42190.0,28.2
42191.0,23.8
42192.0,25.8
42193.0,19.6
42194.0,17.6
42195.0,22.6
42196.0,28.7
42197.0,20.4
42198.0,19.6
42199.0,21.3
42200.0,21.1
42201.0,25.1
42202.0,25.6
42203.0,22.1
42204.0,20.5
42205.0,21.4
42206.0,25.4
42207.0,23.1
42208.0,21.7
42209.0,23.3
42210.0,18.3
42211.0,20.9
42212.0,19.7
42213.0,18.9
42214.0,17.6
42215.0,18.1
42216.0,19.4
42217.0,22
42218.0,24.2
42219.0,30
42220.0,21.5
42221.0,25
42222.0,28.4
42223.0,27
42224.0,23
42225.0,24.3
42226.0,25.2
42227.0,25.4
42228.0,23
42229.0,28.4
42230.0,25.4
42231.0,22.1
42232.0,16.6
42233.0,15.2
42234.0,16.8
42235.0,22.5
42236.0,24.9
42237.0,25.3
42238.0,26.5
42239.0,25.9
42240.0,23.1
42241.0,19.9
42242.0,25.2
42243.0,18.5
42244.0,20.9
42245.0,23.6
42246.0,25.3
42247.0,26.5
42248.0,19.5
42249.0,18.8
42250.0,17.1
42251.0,16.6
42252.0,16.9
42253.0,17
42254.0,16.9
42255.0,16.9
42256.0,18.5
42257.0,19.6
42258.0,20.1
42259.0,20.2
42260.0,19.4
42261.0,19.8
42262.0,15.9
42263.0,19.2
42264.0,16.4
42265.0,18.4
42266.0,17.5
42267.0,18.1
42268.0,18.6
42269.0,17.4
42270.0,17.3
42271.0,15.7
42272.0,16.8
42273.0,16.8
42274.0,17.5
42275.0,16
42276.0,17.4
42277.0,17.5
42278.0,16.9
42279.0,18.3
42280.0,18.8
42281.0,17.9
42282.0,16.9
42283.0,17.6
42284.0,17.6
42285.0,15.9
42286.0,16.3
42287.0,14.3
42288.0,11.5
42289.0,10.2
42290.0,5.9
42291.0,8
42292.0,8
42293.0,8.4
42294.0,9
42295.0,10.9
42296.0,12.5
42297.0,12.6
42298.0,12.5
42299.0,14.8
42300.0,14.1
42301.0,13.8
42302.0,14.3
42303.0,15.8
42304.0,17.3
42305.0,13.3
42306.0,15.6
42307.0,15
42308.0,14.3
42309.0,16
42310.0,15.9
